1p.prs	1p.pst	3p.prs	3p.pst
quaver	quavered	quavers	quavered
queen	queened	queens	queened
bitch	bitched	bitches	bitched
bite	bit	bites	bit
queer	queered	queers	queered
quell	quelled	quells	quelled
quench	quenched	quenches	quenched
query	queried	queries	queried
quest	quested	quests	quested
bivouac	bivouacked	bivouacs	bivouacked
question	questioned	questions	questioned
blab	blabbed	blabs	blabbed
blabber	blabbered	blabbers	blabbered
black	blacked	blacks	blacked
queue	queued	queues	queued
quibble	quibbled	quibbles	quibbled
blackball	blackballed	blackballs	blackballed
quicken	quickened	quickens	quickened
quick-freeze	quick-froze	quick-freezes	quick-froze
blacken	blackened	blackens	blackened
blackguard	blackguarded	blackguards	blackguarded
black-lead	black-leaded	black-leads	black-leaded
quiet	quieted	quiets	quieted
blackleg	blacklegged	blacklegs	blacklegged
quieten	quietened	quietens	quietened
blacklist	blacklisted	blacklists	blacklisted
blackmail	blackmailed	blackmails	blackmailed
quilt	quilted	quilts	quilted
quip	quipped	quips	quipped
blame	blamed	blames	blamed
quit	quit	quits	quit
blanch	blanched	blanches	blanched
quiver	quivered	quivers	quivered
blandish	blandished	blandishes	blandished
quiz	quizzed	quizzes	quizzed
blanket	blanketed	blankets	blanketed
blare	blared	blares	blared
blaspheme	blasphemed	blasphemes	blasphemed
quote	quoted	quotes	quoted
blast	blasted	blasts	blasted
blather	blathered	blathers	blathered
blaze	blazed	blazes	blazed
rabbit	rabbited	rabbits	rabbited
blaze	blazed	blazes	blazed
blazon	blazoned	blazons	blazoned
bleach	bleached	bleaches	bleached
race	raced	races	raced
bleat	bleated	bleats	bleated
bleed	bled	bleeds	bled
bleep	bleeped	bleeps	bleeped
blemish	blemished	blemishes	blemished
blench	blenched	blenches	blenched
blend	blended	blends	blended
bless	blessed	blesses	blessed
rack	racked	racks	racked
racket	racketed	rackets	racketed
blether	blethered	blethers	blethered
racketeer	racketeered	racketeers	racketeered
blight	blighted	blights	blighted
blind	blinded	blinds	blinded
radiate	radiated	radiates	radiated
blindfold	blindfolded	blindfolds	blindfolded
blink	blinked	blinks	blinked
radicalize	radicalized	radicalizes	radicalized
radio	radioed	radios	radioed
blister	blistered	blisters	blistered
blitz	blitzed	blitzes	blitzed
bloat	bloated	bloats	bloated
block	blocked	blocks	blocked
blockade	blockaded	blockades	blockaded
raffle	raffled	raffles	raffled
raft	rafted	rafts	rafted
rag	ragged	rags	ragged
rage	raged	rages	raged
blood	blooded	bloods	blooded
raid	raided	raids	raided
rail	railed	rails	railed
railroad	railroaded	railroads	railroaded
rain	rained	rains	rained
bloom	bloomed	blooms	bloomed
raise	raised	raises	raised
blossom	blossomed	blossoms	blossomed
rake	raked	rakes	raked
blot	blotted	blots	blotted
blow	blew	blows	blew
rally	rallied	rallies	rallied
blow-dry	blow-dried	blow-dries	blow-dried
ram	rammed	rams	rammed
ramble	rambled	rambles	rambled
ramify	ramified	ramifies	ramified
blubber	blubbered	blubbers	blubbered
rampage	rampaged	rampages	rampaged
bludgeon	bludgeoned	bludgeons	bludgeoned
blue	blued	blues	blued
range	ranged	ranges	ranged
rank	ranked	ranks	ranked
blue-pencil	blue-pencilled	blue-pencils	blue-pencilled
rankle	rankled	rankles	rankled
bluff	bluffed	bluffs	bluffed
ransack	ransacked	ransacks	ransacked
ransom	ransomed	ransoms	ransomed
rant	ranted	rants	ranted
blunder	blundered	blunders	blundered
rap	rapped	raps	rapped
blunt	blunted	blunts	blunted
rape	raped	rapes	raped
blur	blurred	blurs	blurred
blush	blushed	blushes	blushed
bluster	blustered	blusters	blustered
board	boarded	boards	boarded
rarefy	rarefied	rarefies	rarefied
boast	boasted	boasts	boasted
boat	boated	boats	boated
rasp	rasped	rasps	rasped
rat	ratted	rats	ratted
bob	bobbed	bobs	bobbed
rate	rated	rates	rated
ratify	ratified	ratifies	ratified
bobsled	bobsledded	bobsleds	bobsledded
bobsleigh	bobsleighed	bobsleighs	bobsleighed
ratiocinate	ratiocinated	ratiocinates	ratiocinated
ration	rationed	rations	rationed
bode	boded	bodes	boded
rationalize	rationalized	rationalizes	rationalized
rattle	rattled	rattles	rattled
bogey	bogeyed	bogeys	bogeyed
boggle	boggled	boggles	boggled
boil	boiled	boils	boiled
ravage	ravaged	ravages	ravaged
rave	raved	raves	raved
ravel	ravelled	ravels	ravelled
raven	ravened	ravens	ravened
ravish	ravished	ravishes	ravished
ray	rayed	rays	rayed
raze	razed	razes	razed
razor	razored	razors	razored
bolster	bolstered	bolsters	bolstered
bolt	bolted	bolts	bolted
bomb	bombed	bombs	bombed
bombard	bombarded	bombards	bombarded
reach	reached	reaches	reached
react	reacted	reacts	reacted
reactivate	reactivated	reactivates	reactivated
read	read	reads	read
bond	bonded	bonds	bonded
readdress	readdressed	readdresses	readdressed
bone	boned	bones	boned
readjust	readjusted	readjusts	readjusted
ready	readied	readies	readied
reaffirm	reaffirmed	reaffirms	reaffirmed
reafforest	reafforested	reafforests	reafforested
boo	booed	boos	booed
boob	boobed	boobs	boobed
realign	realigned	realigns	realigned
booby-trap	booby-trapped	booby-traps	booby-trapped
boohoo	boohooed	boohoos	boohooed
realize	realized	realizes	realized
book	booked	books	booked
reanimate	reanimated	reanimates	reanimated
reap	reaped	reaps	reaped
reappear	reappeared	reappears	reappeared
rear	reared	rears	reared
rearm	rearmed	rearms	rearmed
rearrange	rearranged	rearranges	rearranged
reason	reasoned	reasons	reasoned
boom	boomed	booms	boomed
boomerang	boomeranged	boomerangs	boomeranged
reassure	reassured	reassures	reassured
boost	boosted	boosts	boosted
rebel	rebelled	rebels	rebelled
boot	booted	boots	booted
rebind	rebound	rebinds	rebound
bootleg	bootlegged	bootlegs	bootlegged
rebound	rebounded	rebounds	rebounded
rebuff	rebuffed	rebuffs	rebuffed
rebuild	rebuilt	rebuilds	rebuilt
rebuke	rebuked	rebukes	rebuked
booze	boozed	boozes	boozed
rebut	rebutted	rebuts	rebutted
bop	bopped	bops	bopped
recall	recalled	recalls	recalled
recant	recanted	recants	recanted
recap	recapped	recaps	recapped
recap	recapped	recaps	recapped
recapitulate	recapitulated	recapitulates	recapitulated
recapture	recaptured	recaptures	recaptured
border	bordered	borders	bordered
recast	recast	recasts	recast
recede	receded	recedes	receded
receipt	receipted	receipts	receipted
receive	received	receives	received
bore	bored	bores	bored
borrow	borrowed	borrows	borrowed
recess	recessed	recesses	recessed
recharge	recharged	recharges	recharged
boss	bossed	bosses	bossed
reciprocate	reciprocated	reciprocates	reciprocated
botanize	botanized	botanizes	botanized
botch	botched	botches	botched
recite	recited	recites	recited
bother	bothered	bothers	bothered
reckon	reckoned	reckons	reckoned
bottle	bottled	bottles	bottled
bottle-feed	bottle-fed	bottle-feeds	bottle-fed
reclaim	reclaimed	reclaims	reclaimed
recline	reclined	reclines	reclined
recognize	recognized	recognizes	recognized
recoil	recoiled	recoils	recoiled
recollect	recollected	recollects	recollected
recommend	recommended	recommends	recommended
bounce	bounced	bounces	bounced
recompense	recompensed	recompenses	recompensed
reconcile	reconciled	reconciles	reconciled
bound	bounded	bounds	bounded
recondition	reconditioned	reconditions	reconditioned
reconnoitre	reconnoitred	reconnoitres	reconnoitred
reconsider	reconsidered	reconsiders	reconsidered
reconstitute	reconstituted	reconstitutes	reconstituted
reconstruct	reconstructed	reconstructs	reconstructed
record	recorded	records	recorded
recount	recounted	recounts	recounted
recount	recounted	recounts	recounted
recoup	recouped	recoups	recouped
recover	recovered	recovers	recovered
re-cover	re-covered	re-covers	re-covered
recreate	recreated	recreates	recreated
bow	bowed	bows	bowed
bow	bowed	bows	bowed
bow	bowed	bows	bowed
recriminate	recriminated	recriminates	recriminated
bowdlerize	bowdlerized	bowdlerizes	bowdlerized
recruit	recruited	recruits	recruited
bowl	bowled	bowls	bowled
rectify	rectified	rectifies	rectified
recuperate	recuperated	recuperates	recuperated
recur	recurred	recurs	recurred
recurve	recurved	recurves	recurved
recycle	recycled	recycles	recycled
box	boxed	boxes	boxed
box	boxed	boxes	boxed
redact	redacted	redacts	redacted
redden	reddened	reddens	reddened
boycott	boycotted	boycotts	boycotted
redecorate	redecorated	redecorates	redecorated
redeem	redeemed	redeems	redeemed
redeploy	redeployed	redeploys	redeployed
brace	braced	braces	braced
redirect	redirected	redirects	redirected
redistribute	redistributed	redistributes	redistributed
bracket	bracketed	brackets	bracketed
redo	redid	redoes	redid
brag	bragged	brags	bragged
redouble	redoubled	redoubles	redoubled
braid	braided	braids	braided
redress	redressed	redresses	redressed
brain	brained	brains	brained
reduce	reduced	reduces	reduced
brainwash	brainwashed	brainwashes	brainwashed
reduplicate	reduplicated	reduplicates	reduplicated
braise	braised	braises	braised
re-echo	re-echoed	re-echoes	re-echoed
brake	braked	brakes	braked
reeducate	reeducated	reeducates	reeducated
branch	branched	branches	branched
reef	reefed	reefs	reefed
brand	branded	brands	branded
brandish	brandished	brandishes	brandished
reek	reeked	reeks	reeked
brandy	brandied	brandies	brandied
reel	reeled	reels	reeled
reface	refaced	refaces	refaced
refashion	refashioned	refashions	refashioned
referee	refereed	referees	refereed
brave	braved	braves	braved
refill	refilled	refills	refilled
refine	refined	refines	refined
brawl	brawled	brawls	brawled
refit	refitted	refits	refitted
reflate	reflated	reflates	reflated
reflect	reflected	reflects	reflected
bray	brayed	brays	brayed
braze	brazed	brazes	brazed
breach	breached	breaches	breached
refloat	refloated	refloats	refloated
refoot	refooted	refoots	refooted
reforest	reforested	reforests	reforested
reform	reformed	reforms	reformed
re-form	re-formed	re-forms	re-formed
refract	refracted	refracts	refracted
break	broke	breaks	broke
refrain	refrained	refrains	refrained
refresh	refreshed	refreshes	refreshed
breakfast	breakfasted	breakfasts	breakfasted
refrigerate	refrigerated	refrigerates	refrigerated
refuel	refuelled	refuels	refuelled
refund	refunded	refunds	refunded
refurbish	refurbished	refurbishes	refurbished
refuse	refused	refuses	refused
breast	breasted	breasts	breasted
refute	refuted	refutes	refuted
regain	regained	regains	regained
breastfeed	breastfed	breastfeeds	breastfed
regard	regarded	regards	regarded
breathalyse	breathalysed	breathalyses	breathalysed
breathe	breathed	breathes	breathed
regenerate	regenerated	regenerates	regenerated
regiment	regimented	regiments	regimented
breed	bred	breeds	bred
breeze	breezed	breezes	breezed
register	registered	registers	registered
regress	regressed	regresses	regressed
brew	brewed	brews	brewed
regret	regretted	regrets	regretted
bribe	bribed	bribes	bribed
regroup	regrouped	regroups	regrouped
regularize	regularized	regularizes	regularized
regulate	regulated	regulates	regulated
regurgitate	regurgitated	regurgitates	regurgitated
rehabilitate	rehabilitated	rehabilitates	rehabilitated
rehash	rehashed	rehashes	rehashed
rehear	reheard	rehears	reheard
bridge	bridged	bridges	bridged
rehearse	rehearsed	rehearses	rehearsed
rehouse	rehoused	rehouses	rehoused
bridle	bridled	bridles	bridled
reify	reified	reifies	reified
reign	reigned	reigns	reigned
reimburse	reimbursed	reimburses	reimbursed
brief	briefed	briefs	briefed
rein	reined	reins	reined
reincarnate	reincarnated	reincarnates	reincarnated
reinforce	reinforced	reinforces	reinforced
reinstate	reinstated	reinstates	reinstated
brighten	brightened	brightens	brightened
reinsure	reinsured	reinsures	reinsured
reissue	reissued	reissues	reissued
reiterate	reiterated	reiterates	reiterated
reject	rejected	rejects	rejected
rejig	rejigged	rejigs	rejigged
rejoice	rejoiced	rejoices	rejoiced
brim	brimmed	brims	brimmed
rejoin	rejoined	rejoins	rejoined
rejoin	rejoined	rejoins	rejoined
bring	brought	brings	brought
rejuvenate	rejuvenated	rejuvenates	rejuvenated
rekindle	rekindled	rekindles	rekindled
relapse	relapsed	relapses	relapsed
relate	related	relates	related
relax	relaxed	relaxes	relaxed
relay	relaid	relays	relaid
relay	relayed	relays	relayed
release	released	releases	released
relegate	relegated	relegates	relegated
relent	relented	relents	relented
bristle	bristled	bristles	bristled
broach	broached	broaches	broached
broadcast	broadcast	broadcasts	broadcast
relieve	relieved	relieves	relieved
reline	relined	relines	relined
relinquish	relinquished	relinquishes	relinquished
broaden	broadened	broadens	broadened
relish	relished	relishes	relished
relive	relived	relives	relived
reload	reloaded	reloads	reloaded
relocate	relocated	relocates	relocated
remain	remained	remains	remained
remainder	remaindered	remainders	remaindered
brocade	brocaded	brocades	brocaded
remake	remade	remakes	remade
remand	remanded	remands	remanded
broil	broiled	broils	broiled
remark	remarked	remarks	remarked
remarry	remarried	remarries	remarried
remedy	remedied	remedies	remedied
remember	remembered	remembers	remembered
remilitarize	remilitarized	remilitarizes	remilitarized
remind	reminded	reminds	reminded
reminisce	reminisced	reminisces	reminisced
bronze	bronzed	bronzes	bronzed
brood	brooded	broods	brooded
remit	remitted	remits	remitted
remodel	remodelled	remodels	remodelled
brook	brooked	brooks	brooked
remonstrate	remonstrated	remonstrates	remonstrated
remould	remoulded	remoulds	remoulded
browbeat	browbeat	browbeats	browbeat
brown	browned	browns	browned
remount	remounted	remounts	remounted
remove	removed	removes	removed
remunerate	remunerated	remunerates	remunerated
browse	browsed	browses	browsed
bruise	bruised	bruises	bruised
rename	renamed	renames	renamed
rend	rent	rends	rent
render	rendered	renders	rendered
brush	brushed	brushes	brushed
rendezvous	rendezvoued	rendezvous	rendezvoued
renegade	renegaded	renegades	renegaded
renege	reneged	reneges	reneged
renew	renewed	renews	renewed
renounce	renounced	renounces	renounced
renovate	renovated	renovates	renovated
rent	rented	rents	rented
brutalize	brutalized	brutalizes	brutalized
