Present_Transcription	Past_Transcription	Count	Present_Orthography	Past_Orthography	Regular_or_Irregular
v.aʊ	v.aʊ.d	79	vow	vowed	reg
k.ʌ.m.ɛ.n.d	k.ʌ.m.ɛ.n.d.ɪ.d	78	commend	commended	reg
ɪ.l.u.d	ɪ.l.u.d.ɪ.d	78	elude	eluded	reg
ɛ.m.j.ʌ.l.eɪ.t	ɛ.m.j.ʌ.l.eɪ.t.ɪ.d	78	emulate	emulated	reg
ɪ.n.f.ɚ	ɪ.n.f.ɚ.d	78	infer	inferred	reg
l.aɪ.t.ʌ.n	l.aɪ.t.ʌ.n.d	78	lighten	lightened	reg
p.ʌ.t.ɹ.oʊ.l	p.ʌ.t.ɹ.oʊ.l.d	78	patrol	patrolled	reg
ɹ.i.p	ɹ.i.p.t	78	reap	reaped	reg
ʃ.ɹ.aʊ.d	ʃ.ɹ.aʊ.d.ɪ.d	78	shroud	shrouded	reg
s.p.ɑ.ɹ.k.ʌ.l	s.p.ɑ.ɹ.k.ʌ.l.d	78	sparkle	sparkled	reg
t.eɪ.l.ɚ	t.eɪ.l.ɚ.d	78	tailor	tailored	reg
t.ɛ.m.p.ɚ	t.ɛ.m.p.ɚ.d	78	temper	tempered	reg
æ.g.ɹ.ʌ.v.eɪ.t	æ.g.ɹ.ʌ.v.eɪ.t.ɪ.d	77	aggravate	aggravated	reg
ɛ.n.t.ɹ.ʌ.s.t	ɛ.n.t.ɹ.ʌ.s.t.ɪ.d	77	entrust	entrusted	reg
ɪ.k.s.p.aɪ.ɹ	ɪ.k.s.p.aɪ.ɹ.d	77	expire	expired	reg
f.ɚ.t.ʌ.l.aɪ.z	f.ɚ.t.ʌ.l.aɪ.z.d	77	fertilize	fertilized	reg
g.ɹ.æ.p.ʌ.l	g.ɹ.æ.p.ʌ.l.d	77	grapple	grappled	reg
aʊ.t.g.ɹ.oʊ	aʊ.t.g.ɹ.u	77	outgrow	outgrew	irreg
p.ɚ.eɪ.d	p.ɚ.eɪ.d.ɪ.d	77	parade	paraded	reg
p.l.eɪ.g	p.l.eɪ.g.d	77	plague	plagued	reg
ɹ.æ.ʃ.ʌ.n	ɹ.æ.ʃ.ʌ.n.d	77	ration	rationed	reg
s.t.ɪ.tʃ	s.t.ɪ.tʃ.t	77	stitch	stitched	reg
t.eɪ.l	t.eɪ.l.d	77	tail	tailed	reg
t.ɪ.k.ʌ.l	t.ɪ.k.ʌ.l.d	77	tickle	tickled	reg
t.ɹ.ɛ.ʒ.ɚ	t.ɹ.ɛ.ʒ.ɚ.d	77	treasure	treasured	reg
w.eɪ.dʒ	w.eɪ.dʒ.d	77	wage	waged	reg
d.ɪ.s.p.l.i.z	d.ɪ.s.p.l.i.z.d	76	displease	displeased	reg
d.ɔ.g	d.ɔ.g.d	76	dog	dogged	reg
d.ɹ.ɛ.n.tʃ	d.ɹ.ɛ.n.tʃ.t	76	drench	drenched	reg
p.ɚ.v.eɪ.d	p.ɚ.v.eɪ.d.ɪ.d	76	pervade	pervaded	reg
p.ɚ.dʒ	p.ɚ.dʒ.d	76	purge	purged	reg
ʃ.ɛ.l.v	ʃ.ɛ.l.v.d	76	shelve	shelved	reg
ʌ.d.ɔ.ɹ.n	ʌ.d.ɔ.ɹ.n.d	75	adorn	adorned	reg
ʌ.s.ɔ.ɹ.t	ʌ.s.ɔ.ɹ.t.ɪ.d	75	assort	assorted	reg
b.ɔ.l	b.ɔ.l.d	75	bawl	bawled	reg
b.l.i.tʃ	b.l.i.tʃ.t	75	bleach	bleached	reg
b.ʌ.k.ʌ.l	b.ʌ.k.ʌ.l.d	75	buckle	buckled	reg
tʃ.ɑ.ɹ.m	tʃ.ɑ.ɹ.m.d	75	charm	charmed	reg
ɪ.l.ɪ.s.ɪ.t	ɪ.l.ɪ.s.ɪ.t.ɪ.d	75	elicit	elicited	reg
h.ɔɪ.s.t	h.ɔɪ.s.t.ʌ.d	75	hoist	hoisted	reg
p.ɹ.ɪ.s.ɪ.p.ɪ.t.eɪ.t	p.ɹ.ɪ.s.ɪ.p.ɪ.t.eɪ.t.ɪ.d	75	precipitate	precipitated	reg
ɹ.æ.p	ɹ.æ.p.t	75	rap	rapped	reg
ɹ.ɛ.k.ɹ.i.eɪ.t	ɹ.ɛ.k.ɹ.i.eɪ.t.ɪ.d	75	recreate	recreated	reg
t.ɪ.p.t.oʊ	t.ɪ.p.t.oʊ.d	75	tiptoe	tiptoed	reg
ʌ.p.d.eɪ.t	ʌ.p.d.eɪ.t.ʌ.d	75	update	updated	reg
æ.m.p.l.ʌ.f.aɪ	æ.m.p.l.ʌ.f.aɪ.d	74	amplify	amplified	reg
b.aɪ.s.ɪ.k.ʌ.l	b.aɪ.s.ɪ.k.ʌ.l.d	74	bicycle	bicycled	reg
k.ʌ.n.s.p.aɪ.ɚ	k.ʌ.n.s.p.aɪ.ɚ.d	74	conspire	conspired	reg
l.æ.p.s	l.æ.p.s.t	74	lapse	lapsed	reg
p.ɹ.ʌ.p.ɛ.l	p.ɹ.ʌ.p.ɛ.l.d	74	propel	propelled	reg
ɹ.i.f.ɪ.l	ɹ.i.f.ɪ.l.d	74	refill	refilled	reg
s.n.oʊ	s.n.oʊ.d	74	snow	snowed	reg
s.k.w.i.k	s.k.w.i.k.t	74	squeak	squeaked	reg
s.t.u	s.t.u.d	74	stew	stewed	reg
s.w.ɑ.m.p	s.w.ɔ.m.p.t	74	swamp	swamped	reg
k.ɑ.n.v.ɚ.s	k.ʌ.n.v.ɚ.s.t	73	converse	conversed	reg
d.u.p.l.ʌ.k.ʌ.t	d.u.p.l.ɪ.k.eɪ.t.ɪ.d	73	duplicate	duplicated	reg
ɪ.k.s.p.ɛ.n.d	ɪ.k.s.p.ɛ.n.d.ɪ.d	73	expend	expended	reg
ɪ.n.f.ɪ.l.t.ɹ.eɪ.t	ɪ.n.f.ɪ.l.t.ɹ.eɪ.t.ɪ.d	73	infiltrate	infiltrated	reg
ɪ.n.t.ɛ.ɹ.ʌ.g.eɪ.t	ɪ.n.t.ɛ.ɹ.ʌ.g.eɪ.t.ɪ.d	73	interrogate	interrogated	reg
l.ɑ.b.i	l.ɑ.b.i.d	73	lobby	lobbied	reg
n.ʌ.s.ɛ.s.ʌ.t.eɪ.t	n.ʌ.s.ɛ.s.ʌ.t.eɪ.t.ʌ.d	73	necessitate	necessitated	reg
p.aɪ.p	p.aɪ.p.t	73	pipe	piped	reg
ɹ.aɪ.ʌ.t	ɹ.aɪ.ʌ.t.ɪ.d	73	riot	rioted	reg
s.æ.tʃ.ɚ.eɪ.t	s.æ.tʃ.ɚ.eɪ.t.ʌ.d	73	saturate	saturated	reg
s.k.ɑ.ɹ	s.k.ɑ.ɹ.d	73	scar	scarred	reg
s.aɪ.t	s.aɪ.t.ɪ.d	73	site	sited	reg
s.t.æ.n.d.ɚ.d.aɪ.z	s.t.æ.n.d.ɚ.d.aɪ.z.d	73	standardize	standardized	reg
s.w.ɚ.v	s.w.ɚ.v.d	73	swerve	swerved	reg
t.w.ɪ.ŋ.k.ʌ.l	t.w.ɪ.ŋ.k.ʌ.l.d	73	twinkle	twinkled	reg
ʌ.k.ɹ.u	ʌ.k.ɹ.u.d	72	accrue	accrued	reg
æ.s.ɚ.t.eɪ.n	æ.s.ɚ.t.eɪ.n.d	72	ascertain	ascertained	reg
b.æ.p.t.aɪ.z	b.æ.p.t.aɪ.z.d	72	baptize	baptized	reg
b.ɪ.l.oʊ	b.ɪ.l.oʊ.d	72	billow	billowed	reg
k.ɹ.ɪ.s.ʌ.n	k.ɹ.ɪ.s.ʌ.n.d	72	christen	christened	reg
k.l.ɑ.g	k.l.ɔ.g.d	72	clog	clogged	reg
k.ʌ.l.æ.b.ɚ.eɪ.t	k.ʌ.l.æ.b.ɚ.eɪ.t.ʌ.d	72	collaborate	collaborated	reg
k.ʌ.m.ɛ.n.s	k.ʌ.m.ɛ.n.s.t	72	commence	commenced	reg
k.ɹ.ʌ.n.tʃ	k.ɹ.ʌ.n.tʃ.t	72	crunch	crunched	reg
ɪ.n.f.j.ʊ.ɹ.i.eɪ.t	ɪ.n.f.j.ʊ.ɹ.i.eɪ.t.ɪ.d	72	infuriate	infuriated	reg
n.ɪ.p	n.ɪ.p.t	72	nip	nipped	reg
oʊ.v.ɚ.h.æ.ŋ	oʊ.v.ɚ.h.ʌ.ŋ	72	overhang	overhung	irreg
k.w.ɪ.k.ʌ.n	k.w.ɪ.k.ʌ.n.d	72	quicken	quickened	reg
ɹ.i.k.ʌ.n.s.ɪ.d.ɚ	ɹ.i.k.ʌ.n.s.ɪ.d.ɚ.d	72	reconsider	reconsidered	reg
ɹ.ɪ.g	ɹ.ɪ.g.d	72	rig	rigged	reg
s.t.ɔ.l	s.t.ɔ.l.d	72	stall	stalled	reg
s.t.ɪ.ŋ.k	s.t.ʌ.ŋ.k	72	stink	stunk	irreg
s.t.ɪ.ŋ.k	s.t.æ.ŋ.k	72	stink	stank	irreg
s.ʌ.b.t.ɹ.æ.k.t	s.ʌ.b.t.ɹ.æ.k.t.ɪ.d	72	subtract	subtracted	reg
ʌ.n.ɚ.v	ʌ.n.n.ɚ.v.d	72	unnerve	unnerved	reg
æ.k.s.ɛ.n.tʃ.u.eɪ.t	æ.k.s.ɛ.n.tʃ.u.eɪ.t.ɪ.d	71	accentuate	accentuated	reg
tʃ.ɛ.ɹ	tʃ.ɛ.ɹ.d	71	chair	chaired	reg
k.ʌ.n.d.ɛ.n.s	k.ʌ.n.d.ɛ.n.s.t	71	condense	condensed	reg
k.ɹ.ɪ.s.t.ʌ.l.aɪ.z	k.ɹ.ɪ.s.t.ʌ.l.aɪ.z.d	71	crystallize	crystallized	reg
d.ɪ.k.ɹ.i	d.ɪ.k.ɹ.i.d	71	decree	decreed	reg
d.ɪ.p.l.i.t	d.ɪ.p.l.i.t.ɪ.d	71	deplete	depleted	reg
d.ɪ.s.æ.t.ʌ.s.f.aɪ	d.ɪ.s.æ.t.ʌ.s.f.aɪ.d	71	dissatisfy	dissatisfied	reg
h.ʌ.m.p	h.ʌ.m.p.t	71	hump	humped	reg
ɪ.n.s.t.ɪ.t.u.ʃ.ʌ.n.ʌ.l.aɪ.z	ɪ.n.s.t.ɪ.t.u.ʃ.ʌ.n.ʌ.l.aɪ.z.d	71	institutionalize	institutionalized	reg
dʒ.æ.b	dʒ.æ.b.d	71	jab	jabbed	reg
p.æ.d.ʌ.l	p.æ.d.ʌ.l.d	71	paddle	paddled	reg
ɹ.ʌ.m.ɪ.dʒ	ɹ.ʌ.m.ɪ.dʒ.d	71	rummage	rummaged	reg
s.ɔ.l.t	s.ɔ.l.t.ʌ.d	71	salt	salted	reg
s.k.ɔ.ɹ.n	s.k.ɔ.ɹ.n.d	71	scorn	scorned	reg
ʃ.ɪ.ɹ	ʃ.ɪ.ɹ.d	71	shear	sheared	reg
ʃ.ɛ.l	ʃ.ɛ.l.d	71	shell	shelled	reg
s.ɪ.f.t	s.ɪ.f.t.ɪ.d	71	sift	sifted	reg
s.l.æ.k.ʌ.n	s.l.æ.k.ʌ.n.d	71	slacken	slackened	reg
ʌ.p.i.z	ʌ.p.i.z.d	70	appease	appeased	reg
b.æ.b.ʌ.l	b.æ.b.ʌ.l.d	70	babble	babbled	reg
k.ʌ.n.s.t.ɹ.eɪ.n	k.ʌ.n.s.t.ɹ.eɪ.n.d	70	constrain	constrained	reg
k.ɹ.i.m	k.ɹ.i.m.d	70	cream	creamed	reg
d.ɔ.n.t	d.ɔ.n.t.ɪ.d	70	daunt	daunted	reg
d.ɪ.s.p.ɛ.ɹ	d.ɪ.s.p.ɛ.ɹ.d	70	despair	despaired	reg
d.ʌ.m.ɛ.s.t.ʌ.k.eɪ.t	d.ʌ.m.ɛ.s.t.ʌ.k.eɪ.t.ʌ.d	70	domesticate	domesticated	reg
ɪ.n.ʃ.ʊ.ɹ	ɪ.n.ʃ.ʊ.ɹ.d	70	insure	insured	reg
l.æ.p	l.æ.p.t	70	lap	lapped	reg
m.ʌ.s.ɑ.ʒ	m.ʌ.s.ɑ.ʒ.d	70	massage	massaged	reg
p.ɪ.n.p.ɔɪ.n.t	p.ɪ.n.p.ɔɪ.n.t.ɪ.d	70	pinpoint	pinpointed	reg
p.l.aɪ	p.l.aɪ.d	70	ply	plied	reg
ɹ.i.t.ɔ.ɹ.t	ɹ.i.t.ɔ.ɹ.t.ɪ.d	70	retort	retorted	reg
s.ʌ.l.k	s.ʌ.l.k.t	70	sulk	sulked	reg
s.ɚ.f.ʌ.s	s.ɚ.f.ɪ.s.t	70	surface	surfaced	reg
v.ɔ.l.t	v.ɔ.l.t.ɪ.d	70	vault	vaulted	reg
ʌ.n.ɔɪ.n.t	ʌ.n.ɔɪ.n.t.ɪ.d	69	anoint	anointed	reg
b.æ.s.k	b.æ.s.k.t	69	bask	basked	reg
b.l.æ.k.m.eɪ.l	b.l.æ.k.m.eɪ.l.d	69	blackmail	blackmailed	reg
ɪ.g.z.æ.s.ɚ.b.eɪ.t	ɪ.g.z.æ.s.ɚ.b.eɪ.t.ʌ.d	69	exacerbate	exacerbated	reg
g.ɹ.ɪ.m.ʌ.s	g.ɹ.ɪ.m.ʌ.s.t	69	grimace	grimaced	reg
ɪ.m.p.ɹ.ɪ.n.t	ɪ.m.p.ɹ.ɪ.n.t.ɪ.d	69	imprint	imprinted	reg
ɪ.n.t.ɚ.l.ɑ.k	ɪ.n.t.ɚ.l.ɑ.k.d	69	interlock	interlocked	reg
ɔɪ.l	ɔɪ.l.d	69	oil	oiled	reg
oʊ.v.ɚ.l.oʊ.d	oʊ.v.ɚ.l.oʊ.d.ɪ.d	69	overload	overloaded	reg
p.ʌ.ŋ.k.tʃ.u.eɪ.t	p.ʌ.ŋ.k.tʃ.u.eɪ.t.ɪ.d	69	punctuate	punctuated	reg
ɹ.ɪ.k.l.aɪ.n	ɹ.ɪ.k.l.aɪ.n.d	69	recline	reclined	reg
s.k.ɹ.u.t.ʌ.n.aɪ.z	s.k.ɹ.u.t.ʌ.n.aɪ.z.d	69	scrutinize	scrutinized	reg
w.æ.g	w.æ.g.d	69	wag	wagged	reg
k.ʌ.n.d.oʊ.n	k.ʌ.n.d.oʊ.n.d	68	condone	condoned	reg
d.ɹ.ɑ.m.ʌ.t.aɪ.z	d.ɹ.æ.m.ʌ.t.aɪ.z.d	68	dramatize	dramatized	reg
f.eɪ.n	f.eɪ.n.d	68	feign	feigned	reg
f.ɔ.n.d.ʌ.l	f.ɔ.n.d.ʌ.l.d	68	fondle	fondled	reg
dʒ.ɛ.p.ɚ.d.aɪ.z	dʒ.ɛ.p.ɚ.d.aɪ.z.d	68	jeopardize	jeopardized	reg
m.aɪ.n	m.aɪ.n.d	68	mine	mined	reg
m.j.u.t.ʌ.l.eɪ.t	m.j.u.t.ʌ.l.eɪ.t.ʌ.d	68	mutilate	mutilated	reg
u.z	u.z.d	68	ooze	oozed	reg
p.ɹ.ɑ.f.ɚ	p.ɹ.ɑ.f.ɚ.d	68	proffer	proffered	reg
ɹ.i.dʒ.ɔɪ.n	ɹ.i.dʒ.ɔɪ.n.d	68	rejoin	rejoined	reg
ɹ.ɛ.v.ʌ.l.u.ʃ.ʌ.n.aɪ.z	ɹ.ɛ.v.ʌ.l.u.ʃ.ʌ.n.aɪ.z.d	68	revolutionize	revolutionized	reg
ɹ.i.ɹ.aɪ.t	ɹ.i.ɹ.oʊ.t	68	rewrite	rewrote	irreg
v.ɛ.ɹ.ʌ.f.aɪ	v.ɛ.ɹ.ʌ.f.aɪ.d	68	verify	verified	reg
v.aɪ	v.aɪ.d	68	vie	vied	reg
ɔ.g.m.ɛ.n.t	ɑ.g.m.ɛ.n.t.ʌ.d	67	augment	augmented	reg
b.æ.ʃ	b.æ.ʃ.t	67	bash	bashed	reg
b.l.ʌ.n.d.ɚ	b.l.ʌ.n.d.ɚ.d	67	blunder	blundered	reg
b.ɹ.ɛ.s.t.f.i.d	b.ɹ.ɛ.s.t.f.ɛ.d	67	breastfeed	breastfed	irreg
k.ɑ.n.dʒ.ɚ	k.ɑ.n.dʒ.ɚ.d	67	conjure	conjured	reg
d.ɛ.v.ʌ.s.t.eɪ.t	d.ɛ.v.ʌ.s.t.eɪ.t.ʌ.d	67	devastate	devastated	reg
h.ɛ.ɹ.ʌ.l.d	h.ɛ.ɹ.ʌ.l.d.ɪ.d	67	herald	heralded	reg
dʒ.ɪ.ɹ	dʒ.ɪ.ɹ.d	67	jeer	jeered	reg
n.u.t.ɹ.ʌ.l.aɪ.z	n.u.t.ɹ.ʌ.l.aɪ.z.d	67	neutralize	neutralized	reg
p.ɛ.t.ɹ.ʌ.f.aɪ	p.ɛ.t.ɹ.ʌ.f.aɪ.d	67	petrify	petrified	reg
p.ɹ.aɪ.z	p.ɹ.aɪ.z.d	67	prize	prized	reg
ɹ.i.s.t.ɹ.ʌ.k.tʃ.ɚ	ɹ.i.s.t.ɹ.ʌ.k.tʃ.ɚ.d	67	restructure	restructured	reg
ɹ.ɪ.v.ɪ.ɹ	ɹ.ɪ.v.ɪ.ɹ.d	67	revere	revered	reg
ɹ.ɪ.d.ʌ.l	ɹ.ɪ.d.ʌ.l.d	67	riddle	riddled	reg
s.k.ʌ.t.ʌ.l	s.k.ʌ.t.ʌ.l.d	67	scuttle	scuttled	reg
t.eɪ.p.ɚ	t.eɪ.p.ɚ.d	67	taper	tapered	reg
t.oʊ	t.oʊ.d	67	tow	towed	reg
w.ɚ.s.ʌ.n	w.ɚ.s.ʌ.n.d	67	worsen	worsened	reg
b.æ.n.d.ɪ.dʒ	b.æ.n.d.ʌ.dʒ.d	66	bandage	bandaged	reg
k.æ.m.ʌ.f.l.ɑ.ʒ	k.æ.m.ʌ.f.l.ɑ.ʒ.d	66	camouflage	camouflaged	reg
tʃ.ɑ.ɹ.t.ɚ	tʃ.ɑ.ɹ.t.ɚ.d	66	charter	chartered	reg
d.aɪ.v.ɚ.s.ʌ.f.aɪ	d.aɪ.v.ɚ.s.ʌ.f.aɪ.d	66	diversify	diversified	reg
f.l.ɚ.t	f.l.ɚ.t.ɪ.d	66	flirt	flirted	reg
g.eɪ.dʒ	g.eɪ.dʒ.d	66	gauge	gauged	reg
ɪ.m.p.ɹ.ʌ.v.aɪ.z	ɪ.m.p.ɹ.ʌ.v.aɪ.z.d	66	improvise	improvised	reg
m.æ.s	m.æ.s.t	66	mass	massed	reg
m.æ.s.t.ɚ.b.eɪ.t	m.æ.s.t.ɚ.b.eɪ.t.ɪ.d	66	masturbate	masturbated	reg
m.ɪ.n.s	m.ɪ.n.s.t	66	mince	minced	reg
ʌ.b.s.t.ɹ.ʌ.k.t	ʌ.b.s.t.ɹ.ʌ.k.t.ɪ.d	66	obstruct	obstructed	reg
p.ɪ.s	p.ɪ.s.t	66	piss	pissed	reg
t.æ.t.u	t.æ.t.u.d	66	tattoo	tattooed	reg
w.u.p	w.u.p.t	66	whoop	whooped	reg
ʌ.b.s.t.eɪ.n	ʌ.b.s.t.eɪ.n.d	65	abstain	abstained	reg
b.ɪ.f.ɔ.l	b.ɪ.f.ɛ.l	65	befall	befell	irreg
k.ʌ.d.ʌ.l	k.ʌ.d.ʌ.l.d	65	cuddle	cuddled	reg
d.ɪ.m.ɔ.ɹ.ʌ.l.aɪ.z	d.ɪ.m.ɔ.ɹ.ʌ.l.aɪ.z.d	65	demoralize	demoralized	reg
f.i.s.t	f.i.s.t.ɪ.d	65	feast	feasted	reg
h.ʌ.s.ʌ.l	h.ʌ.s.ʌ.l.d	65	hustle	hustled	reg
l.u.t	l.u.t.ʌ.d	65	loot	looted	reg
m.eɪ.l	m.eɪ.l.d	65	mail	mailed	reg
p.aʊ.ɚ	p.aʊ.ɚ.d	65	power	powered	reg
ɹ.æ.k	ɹ.æ.k.t	65	rack	racked	reg
s.p.æ.n	s.p.æ.n.d	65	span	spanned	reg
t.oʊ.s.t	t.oʊ.s.t.ɪ.d	65	toast	toasted	reg
ʌ.n.l.i.ʃ	ʌ.n.l.i.ʃ.t	65	unleash	unleashed	reg
v.ɔɪ.s	v.ɔɪ.s.t	65	voice	voiced	reg
ʌ.s.æ.s.ʌ.n.eɪ.t	ʌ.s.æ.s.ʌ.n.eɪ.t.ʌ.d	64	assassinate	assassinated	reg
b.l.u.m	b.l.u.m.d	64	bloom	bloomed	reg
ɛ.n.k.eɪ.s	ɛ.n.k.eɪ.s.t	64	encase	encased	reg
ɪ.n.t.aɪ.s	ɪ.n.t.aɪ.s.t	64	entice	enticed	reg
h.aɪ.k	h.aɪ.k.t	64	hike	hiked	reg
h.ɑ.l.ɚ	h.ɑ.l.ɚ.d	64	holler	hollered	reg
ɪ.n.s.k.ɹ.aɪ.b	ɪ.n.s.k.ɹ.aɪ.b.d	64	inscribe	inscribed	reg
m.æ.p	m.æ.p.t	64	map	mapped	reg
p.i.p	p.i.p.t	64	peep	peeped	reg
p.ɹ.ʌ.f.ɛ.s	p.ɹ.ʌ.f.ɛ.s.t	64	profess	professed	reg
p.ɚ.s	p.ɚ.s.t	64	purse	pursed	reg
ɹ.i.k.æ.p.tʃ.ɚ	ɹ.i.k.æ.p.tʃ.ɚ.d	64	recapture	recaptured	reg
s.æ.d.ʌ.l	s.æ.d.ʌ.l.d	64	saddle	saddled	reg
s.ɚ.v.ʌ.s	s.ɚ.v.ɪ.s.t	64	service	serviced	reg
s.p.eɪ.s	s.p.eɪ.s.t	64	space	spaced	reg
s.ʌ.p.l.æ.n.t	s.ʌ.p.l.æ.n.t.ʌ.d	64	supplant	supplanted	reg
ɑ.ɹ.t.ɪ.k.j.ʌ.l.eɪ.t	ɑ.ɹ.t.ɪ.k.j.ʌ.l.eɪ.t.ʌ.d	63	articulate	articulated	reg
b.ɹ.ɪ.dʒ	b.ɹ.ɪ.dʒ.d	63	bridge	bridged	reg
s.ɛ.n.s.ɚ	s.ɛ.n.s.ɚ.d	63	censor	censored	reg
k.l.æ.s	k.l.æ.s.t	63	class	classed	reg
k.ɑ.m.p.l.ʌ.m.ʌ.n.t	k.ɑ.m.p.l.ʌ.m.ɛ.n.t.ɪ.d	63	complement	complemented	reg
k.ɚ.t.eɪ.l	k.ɚ.t.eɪ.l.d	63	curtail	curtailed	reg
d.ɹ.ɪ.b.ʌ.l	d.ɹ.ɪ.b.ʌ.l.d	63	dribble	dribbled	reg
g.æ.m.b.ʌ.l	g.æ.m.b.ʌ.l.d	63	gamble	gambled	reg
g.ɑ.b.ʌ.l	g.ɑ.b.ʌ.l.d	63	gobble	gobbled	reg
m.ɛ.m.ɚ.aɪ.z	m.ɛ.m.ɚ.aɪ.z.d	63	memorize	memorized	reg
m.ɛ.ɹ.ʌ.t	m.ɛ.ɹ.ɪ.t.ɪ.d	63	merit	merited	reg
m.ɪ.t.ʌ.g.eɪ.t	m.ɪ.t.ʌ.g.eɪ.t.ɪ.d	63	mitigate	mitigated	reg
p.ɚ.s.ʌ.k.j.u.t	p.ɚ.s.ʌ.k.j.u.t.ʌ.d	63	persecute	persecuted	reg
p.l.ɑ.d	p.l.ɑ.d.ʌ.d	63	plod	plodded	reg
ɹ.aɪ.p.ʌ.n	ɹ.aɪ.p.ʌ.n.d	63	ripen	ripened	reg
s.k.eɪ.l	s.k.eɪ.l.d	63	scale	scaled	reg
s.k.ɹ.æ.p	s.k.ɹ.æ.p.t	63	scrap	scrapped	reg
ʃ.ɹ.ɛ.d	ʃ.ɹ.ɛ.d.ʌ.d	63	shred	shredded	reg
s.t.ʌ.n.t	s.t.ʌ.n.t.ɪ.d	63	stunt	stunted	reg
t.æ.g	t.æ.g.d	63	tag	tagged	reg
t.eɪ.p	t.eɪ.p.t	63	tape	taped	reg
t.ɛ.ɹ.ʌ.s	t.ɛ.ɹ.ʌ.s.t	63	terrace	terraced	reg
t.ɛ.ð.ɚ	t.ɛ.ð.ɚ.d	63	tether	tethered	reg
k.æ.p	k.æ.p.t	62	cap	capped	reg
k.ɹ.u.s.ʌ.f.aɪ	k.ɹ.u.s.ʌ.f.aɪ.d	62	crucify	crucified	reg
f.ɔ.ɹ.s.t.ɔ.l	f.ɔ.ɹ.s.t.ɑ.l.d	62	forestall	forestalled	reg
ɪ.n.t.oʊ.n	ɪ.n.t.oʊ.n.d	62	intone	intoned	reg
l.æ.g	l.æ.g.d	62	lag	lagged	reg
l.i.tʃ	l.i.tʃ.t	62	leach	leached	reg
m.aɪ.g.ɹ.eɪ.t	m.aɪ.g.ɹ.eɪ.t.ɪ.d	62	migrate	migrated	reg
p.ɛ.ɹ.ʌ.l.ɛ.l	p.ɛ.ɹ.ʌ.l.ɛ.l.d	62	parallel	paralleled	reg
ɹ.ʌ.m.p.ʌ.l	ɹ.ʌ.m.p.ʌ.l.d	62	rumple	rumpled	reg
s.æ.ŋ.k.ʃ.ʌ.n	s.æ.ŋ.k.ʃ.ʌ.n.d	62	sanction	sanctioned	reg
s.ɔ	s.ɔ.d	62	saw	sawed	reg
s.p.ɚ	s.p.ɚ.d	62	spur	spurred	reg
s.ʌ.b.m.ɚ.dʒ	s.ʌ.b.m.ɚ.dʒ.d	62	submerge	submerged	reg
ɔ.t.ʌ.m.eɪ.t	ɔ.t.ʌ.m.eɪ.t.ɪ.d	61	automate	automated	reg
b.ɹ.aʊ.n	b.ɹ.aʊ.n.d	61	brown	browned	reg
d.ɪ.d.ʌ.k.t	d.ɪ.d.ʌ.k.t.ɪ.d	61	deduct	deducted	reg
d.ɪ.s.l.ɑ.dʒ	d.ɪ.s.l.ɑ.dʒ.d	61	dislodge	dislodged	reg
ɛ.n.dʒ.ɛ.n.d.ɚ	ɛ.n.dʒ.ɛ.n.d.ɚ.d	61	engender	engendered	reg
ɪ.g.z.ɔ.ɹ.t	ɪ.g.z.ɔ.ɹ.t.ɪ.d	61	exhort	exhorted	reg
ɛ.g.z.aɪ.l	ɛ.g.z.aɪ.l.d	61	exile	exiled	reg
g.ʌ.t	g.ʌ.t.ɪ.d	61	gut	gutted	reg
ɪ.m.p.l.æ.n.t	ɪ.m.p.l.æ.n.t.ɪ.d	61	implant	implanted	reg
n.ʌ.m	n.ʌ.m.d	61	numb	numbed	reg
ɹ.i.ɔ.ɹ.g.ʌ.n.aɪ.z	ɹ.i.ɔ.ɹ.g.ʌ.n.aɪ.z.d	61	reorganize	reorganized	reg
s.k.ɔ.ɹ.tʃ	s.k.ɔ.ɹ.tʃ.t	61	scorch	scorched	reg
s.ɪ.n	s.ɪ.n.d	61	sin	sinned	reg
s.p.ɑ.ɹ.k	s.p.ɑ.ɹ.k.t	61	spark	sparked	reg
ʌ.k.w.ɪ.t	ʌ.k.w.ɪ.t.ɪ.d	60	acquit	acquitted	reg
k.æ.p.ʌ.t.ʌ.l.aɪ.z	k.æ.p.ɪ.t.ʌ.l.aɪ.z.d	60	capitalize	capitalized	reg
ɪ.dʒ.ɛ.k.t	ɪ.dʒ.ɛ.k.t.ɪ.d	60	eject	ejected	reg
ɪ.m.æ.n.s.ʌ.p.eɪ.t	ɪ.m.æ.n.s.ʌ.p.eɪ.t.ɪ.d	60	emancipate	emancipated	reg
ɪ.n.g.ɹ.oʊ.s	ɪ.n.g.ɹ.oʊ.s.t	60	engross	engrossed	reg
ɪ.v.æ.k.j.ʌ.eɪ.t	ɪ.v.æ.k.j.ʌ.w.eɪ.t.ɪ.d	60	evacuate	evacuated	reg
f.ʊ.t	f.ʊ.t.ɪ.d	60	foot	footed	reg
g.l.aʊ.ɚ	g.l.aʊ.ɚ.d	60	glower	glowered	reg
ɪ.m.p.l.ɔ.ɹ	ɪ.m.p.l.ɔ.ɹ.d	60	implore	implored	reg
l.u.p	l.u.p.t	60	loop	looped	reg
p.ɚ.s.ʌ.v.ɪ.ɹ	p.ɚ.s.ʌ.v.ɪ.ɹ.d	60	persevere	persevered	reg
