Present_Transcription	Past_Transcription
ɛ.k.s.t.ɹ.æ.k.t	ɛ.k.s.t.ɹ.æ.k.t.ɪ.d
g.ɹ.eɪ.z	g.ɹ.eɪ.z.d
h.ʊ.k	h.ʊ.k.t
s.w.ɛ.t	s.w.ɛ.t.ɪ.d
g.l.oʊ	g.l.oʊ.d
s.p.i.d	s.p.i.d.ɪ.d
s.t.æ.m.p	s.t.æ.m.p.t
f.ɹ.aʊ.n	f.ɹ.aʊ.n.d
ɪ.n.s.t.ɹ.ʌ.k.t	ɪ.n.s.t.ɹ.ʌ.k.t.ʌ.d
m.ʌ.m.b.ʌ.l	m.ʌ.m.b.ʌ.l.d
p.ɹ.ɑ.g.ɹ.ɛ.s	p.ɹ.ʌ.g.ɹ.ɛ.s.t
d.ɪ.v.ɔ.ɹ.s	d.ɪ.v.ɔ.ɹ.s.t
f.æ.n.s.i	f.æ.n.s.i.d
ɪ.n.k.ɔ.ɹ.p.ɚ.eɪ.t	ɪ.n.k.ɔ.ɹ.p.ɚ.eɪ.t.ɪ.d
s.l.æ.p	s.l.æ.p.t
ɛ.n.f.ɔ.ɹ.s	ɛ.n.f.ɔ.ɹ.s.t
f.æ.s.ʌ.n.eɪ.t	f.æ.s.ʌ.n.eɪ.t.ʌ.d
ɹ.ɪ.ɹ	ɹ.ɪ.ɹ.d
s.ɪ.p	s.ɪ.p.t
k.ɑ.p.i	k.ɑ.p.i.d
ɹ.ʌ.g.ɹ.ɛ.t	ɹ.ɪ.g.ɹ.ɛ.t.ɪ.d
w.aɪ.n.d	w.aʊ.n.d
f.l.ʌ.d	f.l.ʌ.d.ʌ.d
ɪ.n.d.ʌ.l.dʒ	ɪ.n.d.ʌ.l.dʒ.d
l.eɪ.b.ʌ.l	l.eɪ.b.ʌ.l.d
t.ɪ.p	t.ɪ.p.t
ʌ.k.j.u.m.j.ʌ.l.eɪ.t	ʌ.k.j.u.m.j.ʌ.l.eɪ.t.ɪ.d
k.æ.m.p	k.æ.m.p.t
k.ʌ.n.d.ɪ.ʃ.ʌ.n	k.ʌ.n.d.ɪ.ʃ.ʌ.n.d
ɹ.ɪ.w.ɔ.ɹ.d	ɹ.ɪ.w.ɔ.ɹ.d.ɪ.d
b.æ.ŋ	b.æ.ŋ.d
b.ʊ.k	b.ʊ.k.t
k.æ.n.s.ʌ.l	k.æ.n.s.ʌ.l.d
g.ɪ.g.ʌ.l	g.ɪ.g.ʌ.l.d
g.l.i.m	g.l.i.m.d
b.aʊ.n.s	b.aʊ.n.s.t
ɪ.n.k.l.oʊ.z	ɛ.n.k.l.oʊ.z.d
g.æ.s.p	g.æ.s.p.t
p.l.aʊ	p.l.aʊ.d
k.ɛ.ɹ.ɪ.k.t.ɚ.aɪ.z	k.ɛ.ɹ.ɪ.k.t.ɚ.aɪ.z.d
ʌ.n.d.ɚ.m.aɪ.n	ʌ.n.d.ɚ.m.aɪ.n.d
ɛ.m.p.t.i	ɛ.m.p.t.i.d
ɪ.n.d.u.s	ɪ.n.d.u.s.t
t.æ.p	t.æ.p.t
ʌ.l.ɑ.ɹ.m	ʌ.l.ɑ.ɹ.m.d
p.ɹ.ɑ.p	p.ɹ.ɑ.p.t
b.aʊ	b.aʊ.d
d.ɪ.s.k.ɑ.ɹ.d	d.ɪ.s.k.ɑ.ɹ.d.ɪ.d
æ.d.v.ɚ.t.aɪ.z	æ.d.v.ɚ.t.aɪ.z.d
ɪ.n.v.eɪ.d	ɪ.n.v.eɪ.d.ʌ.d
dʒ.ɚ.k	dʒ.ɚ.k.t
l.oʊ.k.eɪ.t	l.oʊ.k.eɪ.t.ʌ.d
aʊ.t.l.aɪ.n	aʊ.t.l.aɪ.n.d
s.ɚ.p.ɹ.aɪ.z	s.ɚ.p.ɹ.aɪ.z.d
b.eɪ.t	b.eɪ.t.ɪ.d
s.ɚ.ɛ.n.d.ɚ	s.ɚ.ɛ.n.d.ɚ.d
k.ɚ.l	k.ɚ.l.d
k.ɚ.s	k.ɚ.s.t
s.l.æ.m	s.l.æ.m.d
ɹ.eɪ.n	ɹ.eɪ.n.d
ɹ.i.ʌ.ʃ.ʊ.ɹ	ɹ.i.ʌ.ʃ.ʊ.ɹ.d
s.ʌ.b.s.t.ʌ.t.u.t	s.ʌ.b.s.t.ʌ.t.u.t.ʌ.d
b.ɑ.ɹ.g.ʌ.n	b.ɑ.ɹ.g.ʌ.n.d
p.ɪ.n	p.ɪ.n.d
s.p.ɪ.t	s.p.æ.t
tʃ.ɪ.ɹ	tʃ.ɪ.ɹ.d
ɹ.ɪ.v.aɪ.v	ɹ.ɪ.v.aɪ.v.d
s.w.ɛ.l	s.w.ɛ.l.d
æ.k.s.ɛ.l.ɚ.eɪ.t	æ.k.s.ɛ.l.ɚ.eɪ.t.ɪ.d
ʌ.k.ɑ.m.p.l.ɪ.ʃ	ʌ.k.ɑ.m.p.l.ɪ.ʃ.t
k.ɑ.n.t.ɹ.æ.k.t	k.ɑ.n.t.ɹ.æ.k.t.ʌ.d
m.ɪ.s.l.i.d	m.ɪ.s.l.ɛ.d
n.ɛ.ɹ.oʊ	n.ɛ.ɹ.oʊ.d
ɪ.k.s.i.d	ɪ.k.s.i.d.ʌ.d
ɹ.æ.t.ʌ.l	ɹ.æ.t.ʌ.l.d
ʌ.n.l.ɑ.k	ʌ.n.l.ɑ.k.t
h.i.l	h.i.l.d
ɹ.ɪ.p	ɹ.ɪ.p.t
t.ɑ.l.ɚ.eɪ.t	t.ɑ.l.ɚ.eɪ.t.ʌ.d
ʌ.k.ɑ.m.ʌ.d.eɪ.t	ʌ.k.ɑ.m.ʌ.d.eɪ.t.ʌ.d
ɪ.n.ɪ.ʃ.i.eɪ.t	ɪ.n.ɪ.ʃ.i.eɪ.t.ʌ.d
p.ɹ.ʌ.n.aʊ.n.s	p.ɹ.ʌ.n.aʊ.n.s.t
s.k.ɹ.æ.m.b.ʌ.l	s.k.ɹ.æ.m.b.ʌ.l.d
s.t.ɪ.ɹ	s.t.ɪ.ɹ.d
ɹ.i.p.ɹ.ʌ.d.u.s	ɹ.i.p.ɹ.ʌ.d.u.s.t
ɹ.ɑ.b	ɹ.ɑ.b.d
w.ɚ.ʃ.ʌ.p	w.ɚ.ʃ.ʌ.p.t
d.ɪ.s.t.ɔ.ɹ.t	d.ɪ.s.t.ɔ.ɹ.t.ʌ.d
g.ɹ.ɪ.p	g.ɹ.ɪ.p.t
t.ɹ.eɪ.l	t.ɹ.eɪ.l.d
t.ɪ.l.t	t.ɪ.l.t.ʌ.d
d.ɪ.s.p.aɪ.z	d.ɪ.s.p.aɪ.z.d
t.ɹ.ɑ.t	t.ɹ.ɑ.t.ʌ.d
tʃ.oʊ.k	tʃ.oʊ.k.t
ɛ.n.t.ɚ.t.eɪ.n	ɛ.n.t.ɚ.t.eɪ.n.d
d.ɪ.s.ʌ.g.ɹ.i	d.ɪ.s.ʌ.g.ɹ.i.d
d.ɪ.s.p.oʊ.z	d.ɪ.s.p.oʊ.z.d
ɹ.ʌ.k.ɹ.u.t	ɹ.ɪ.k.ɹ.u.t.ɪ.d
d.ɪ.k.ɹ.i.s	d.ɪ.k.ɹ.i.s.t
m.ʌ.l.t.ʌ.p.l.aɪ	m.ʌ.l.t.ʌ.p.l.aɪ.d
ɹ.i.b.ɪ.l.d	ɹ.i.b.ɪ.l.t
k.ʌ.n.s.i.d	k.ʌ.n.s.i.d.ɪ.d
ɹ.ɪ.z.ɚ.v	ɹ.ɪ.z.ɚ.v.d
æ.d.v.ʌ.k.ʌ.t	æ.d.v.ʌ.k.eɪ.t.ɪ.d
p.oʊ.k	p.oʊ.k.t
s.ɚ.v.eɪ	s.ɚ.v.eɪ.d
ɑ.n.ɚ	ɑ.n.ɚ.d
s.æ.k.ɹ.ʌ.f.aɪ.s	s.æ.k.ɹ.ʌ.f.aɪ.s.t
k.ʌ.l.t.ʌ.v.eɪ.t	k.ʌ.l.t.ʌ.v.eɪ.t.ɪ.d
ʌ.t.ɚ	ʌ.t.ɚ.d
tʃ.i.t	tʃ.i.t.ʌ.d
k.ɹ.aʊ.tʃ	k.ɹ.aʊ.tʃ.t
ɛ.n.h.æ.n.s	ɛ.n.h.æ.n.s.t
ɪ.k.s.k.l.eɪ.m	ɪ.k.s.k.l.eɪ.m.d
ɹ.ɑ.k	ɹ.ɑ.k.t
k.eɪ.t.ɚ	k.eɪ.t.ɚ.d
k.ɑ.ŋ.k.ɚ	k.ɑ.ŋ.k.ɚ.d
ʃ.eɪ.v	ʃ.eɪ.v.d
t.i.z	t.i.z.d
ɪ.n.t.ɚ.v.i.n	ɪ.n.t.ɚ.v.i.n.d
s.æ.n.d.w.ɪ.tʃ	s.æ.n.d.w.ɪ.tʃ.t
b.l.ɪ.ŋ.k	b.l.ɪ.ŋ.k.t
h.ɔ.n.t	h.ɔ.n.t.ʌ.d
h.aʊ.s	h.aʊ.z.d
s.k.w.ɛ.ɹ	s.k.w.ɛ.ɹ.d
b.ɪ.w.ɪ.l.d.ɚ	b.ɪ.w.ɪ.l.d.ɚ.d
f.l.ʌ.ʃ	f.l.ʌ.ʃ.t
m.ɑ.n.ʌ.t.ɚ	m.ɑ.n.ʌ.t.ɚ.d
h.ɔ.ɹ.ʌ.f.aɪ	h.ɔ.ɹ.ʌ.f.aɪ.d
ɹ.i.s.t.ɹ.ɪ.k.t	ɹ.i.s.t.ɹ.ɪ.k.t.ʌ.d
s.ɪ.g.n.ʌ.l	s.ɪ.g.n.ʌ.l.d
s.t.eɪ.dʒ	s.t.eɪ.dʒ.d
d.ʌ.p.ɑ.z.ɪ.t	d.ʌ.p.ɑ.z.ɪ.t.ɪ.d
h.i.v	h.i.v.d
ʌ.w.ɔ.ɹ.d	ʌ.w.ɔ.ɹ.d.ɪ.d
ɛ.n.l.ɑ.ɹ.dʒ	ɛ.n.l.ɑ.ɹ.dʒ.d
f.l.ɪ.k.ɚ	f.l.ɪ.k.ɚ.d
w.aɪ.d.ʌ.n	w.aɪ.d.ʌ.n.d
s.t.æ.g.ɚ	s.t.æ.g.ɚ.d
s.t.ɛ.m	s.t.ɛ.m.d
ʌ.s.t.ɑ.n.ɪ.ʃ	ʌ.s.t.ɑ.n.ɪ.ʃ.t
ɹ.eɪ.dʒ	ɹ.eɪ.dʒ.d
t.ɑ.p	t.ɑ.p.t
d.ɪ.s.i.v	d.ɪ.s.i.v.d
h.ɔ.l	h.ɔ.l.d
m.ʌ.n.ɪ.p.j.ʌ.l.eɪ.t	m.ʌ.n.ɪ.p.j.ʌ.l.eɪ.t.ɪ.d
m.oʊ.n	m.oʊ.n.d
ɹ.ɪ.g.eɪ.n	ɹ.i.g.eɪ.n.d
s.t.ɹ.aɪ.v	s.t.ɹ.oʊ.v
k.ɑ.n.t.æ.k.t	k.ɑ.n.t.æ.k.t.ɪ.d
p.ʌ.z.ʌ.l	p.ʌ.z.ʌ.l.d
ʌ.t.eɪ.n	ʌ.t.eɪ.n.d
w.ɪ.p	w.ɪ.p.t
d.ɪ.k.t.eɪ.t	d.ɪ.k.t.eɪ.t.ɪ.d
f.ɔ.ɹ.m.j.ʌ.l.eɪ.t	f.ɔ.ɹ.m.j.ʌ.l.eɪ.t.ʌ.d
f.ʌ.ŋ.k.ʃ.ʌ.n	f.ʌ.ŋ.k.ʃ.ʌ.n.d
ɪ.m.p.l.ʌ.m.ʌ.n.t	ɪ.m.p.l.ʌ.m.ɛ.n.t.ʌ.d
v.ɛ.n.tʃ.ɚ	v.ɛ.n.tʃ.ɚ.d
p.ɹ.i.tʃ	p.ɹ.i.tʃ.t
ɹ.i.s.t.ɹ.eɪ.n	ɹ.i.s.t.ɹ.eɪ.n.d
s.t.ɹ.oʊ.l	s.t.ɹ.oʊ.l.d
d.æ.ʃ	d.æ.ʃ.t
ɪ.g.z.æ.dʒ.ɚ.eɪ.t	ɪ.g.z.æ.dʒ.ɚ.eɪ.t.ʌ.d
ɛ.k.s.ʌ.k.j.u.t	ɛ.k.s.ʌ.k.j.u.t.ɪ.d
f.ʌ.n.d	f.ʌ.n.d.ʌ.d
ʃ.ʌ.d.ɚ	ʃ.ʌ.d.ɚ.d
d.æ.z.ʌ.l	d.æ.z.ʌ.l.d
ɹ.ɪ.k.w.ɛ.s.t	ɹ.ɪ.k.w.ɛ.s.t.ɪ.d
b.oʊ.l	b.oʊ.l.d
ɪ.g.z.ɚ.t	ɪ.g.z.ɚ.t.ɪ.d
f.l.æ.t.ɚ	f.l.æ.t.ɚ.d
s.n.ɪ.f	s.n.ɪ.f.t
k.ɑ.m	k.ɑ.m.d
k.æ.m.p.eɪ.n	k.æ.m.p.eɪ.n.d
g.ɹ.æ.dʒ.ʌ.w.ʌ.t	g.ɹ.æ.dʒ.u.eɪ.t.ɪ.d
w.ɪ.s.ʌ.l	w.ɪ.s.ʌ.l.d
f.ɹ.eɪ.m	f.ɹ.eɪ.m.d
b.ɑ.m	b.ɑ.m.d
d.aɪ.v	d.aɪ.v.d
ɛ.n.v.ɪ.z.ɪ.dʒ	ɛ.n.v.ɪ.z.ɪ.dʒ.d
f.l.ʌ.t.ɚ	f.l.ʌ.t.ɚ.d
s.aʊ	s.aʊ.d
s.t.ɹ.aɪ.d	s.t.ɹ.oʊ.d
k.l.æ.s.p	k.l.æ.s.p.t
h.ɚ.l	h.ɚ.l.d
k.ɑ.f	k.ɔ.f.t
h.æ.m.ɚ	h.æ.m.ɚ.d
ɪ.m.ʌ.t.eɪ.t	ɪ.m.ʌ.t.eɪ.t.ɪ.d
p.ɹ.ɪ.s.i.d	p.ɹ.ɪ.s.i.d.ɪ.d
k.ɚ.v	k.ɚ.v.d
s.k.ɹ.eɪ.p	s.k.ɹ.eɪ.p.t
h.ɔ.l.t	h.ɔ.l.t.ʌ.d
ɛ.n.v.i	ɛ.n.v.i.d
s.u	s.u.d
m.ɑ.ɹ.k.ʌ.t	m.ɑ.ɹ.k.ʌ.t.ʌ.d
eɪ.k	eɪ.k.t
ʌ.d.ɔ.ɹ	ʌ.d.ɔ.ɹ.d
s.ɚ.k.j.ʌ.l.eɪ.t	s.ɚ.k.j.ʌ.l.eɪ.t.ʌ.d
ɪ.ɹ.ɛ.k.t	ɪ.ɹ.ɛ.k.t.ʌ.d
ɪ.g.z.ɪ.b.ɪ.t	ɪ.g.z.ɪ.b.ʌ.t.ʌ.d
s.t.ʌ.n	s.t.ʌ.n.d
b.l.ɚ	b.l.ɚ.d
k.ɑ.m.p.ʌ.n.s.eɪ.t	k.ɑ.m.p.ʌ.n.s.eɪ.t.ʌ.d
g.l.ɛ.ɹ	g.l.ɛ.ɹ.d
p.ɹ.oʊ.g.ɹ.æ.m	p.ɹ.oʊ.g.ɹ.æ.m.d
d.aɪ.v.ɚ.t	d.aɪ.v.ɚ.t.ɪ.d
s.ʌ.b.dʒ.ɛ.k.t	s.ʌ.b.dʒ.ɛ.k.t.ɪ.d
t.ɹ.ɛ.d	t.ɹ.ɑ.d
ɪ.n.t.ɹ.i.g	ɪ.n.t.ɹ.i.g.d
l.ɛ.v.ʌ.l	l.ɛ.v.ʌ.l.d
l.ɪ.ŋ.g.ɚ	l.ɪ.ŋ.g.ɚ.d
ʃ.ʌ.v	ʃ.ʌ.v.d
h.ʌ.v.ɚ	h.ʌ.v.ɚ.d
n.æ.ʃ.ʌ.n.ʌ.l.aɪ.z	n.æ.ʃ.ʌ.n.ʌ.l.aɪ.z.d
s.t.eɪ.n	s.t.eɪ.n.d
θ.ɹ.aɪ.v	θ.ɹ.aɪ.v.d
ʌ.w.eɪ.k.ʌ.n	ʌ.w.eɪ.k.ʌ.n.d
aɪ.s.ʌ.l.eɪ.t	aɪ.s.ʌ.l.eɪ.t.ʌ.d
m.ɚ.dʒ	m.ɚ.dʒ.d
f.oʊ.t.ʌ.g.ɹ.æ.f	f.oʊ.t.ʌ.g.ɹ.æ.f.t
p.ɹ.ɑ.m.p.t	p.ɹ.ɑ.m.p.t.ʌ.d
s.ʌ.b.s.ɪ.d.aɪ.z	s.ʌ.b.s.ɪ.d.aɪ.z.d
b.oʊ.s.t	b.oʊ.s.t.ʌ.d
d.ʌ.b.eɪ.t	d.ʌ.b.eɪ.t.ɪ.d
f.ɔ.ɹ.s.i	f.ɔ.ɹ.s.ɔ
ʃ.ʌ.f.ʌ.l	ʃ.ʌ.f.ʌ.l.d
ʌ.d.m.ɪ.n.ɪ.s.t.ɚ	ʌ.d.m.ɪ.n.ɪ.s.t.ɚ.d
k.ʌ.n.f.ɔ.ɹ.m	k.ʌ.n.f.ɔ.ɹ.m.d
p.oʊ.s.t.p.oʊ.n	p.oʊ.s.t.p.oʊ.n.d
tʃ.æ.t	tʃ.æ.t.ʌ.d
k.aʊ.n.t.ɚ	k.aʊ.n.t.ɚ.d
d.ɑ.ɹ.k.ʌ.n	d.ɑ.ɹ.k.ʌ.n.d
d.ɪ.p.ɪ.k.t	d.ɪ.p.ɪ.k.t.ʌ.d
d.ɹ.ɪ.l	d.ɹ.ɪ.l.d
ɹ.ɑ.t	ɹ.ɑ.t.ɪ.d
s.l.aɪ.s	s.l.aɪ.s.t
k.l.æ.p	k.l.æ.p.t
ɹ.ɪ.p.ɛ.ɹ	ɹ.ɪ.p.ɛ.ɹ.d
ʃ.ɹ.i.k	ʃ.ɹ.i.k.t
ɪ.k.s.aɪ.t	ɪ.k.s.aɪ.t.ʌ.d
ɛ.m.b.ɑ.ɹ.k	ɛ.m.b.ɑ.ɹ.k.t
ɪ.n.h.æ.b.ʌ.t	ɪ.n.h.æ.b.ʌ.t.ʌ.d
s.t.ɹ.æ.ŋ.g.ʌ.l	s.t.ɹ.æ.ŋ.g.ʌ.l.d
s.t.ɹ.ʌ.k.tʃ.ɚ	s.t.ɹ.ʌ.k.tʃ.ɚ.d
d.ɪ.n.aʊ.n.s	d.ɪ.n.aʊ.n.s.t
ɪ.n.s.ɚ.t	ɪ.n.s.ɚ.t.ʌ.d
p.ɹ.ɪ.z.u.m	p.ɹ.ʌ.z.u.m.d
p.ɹ.ɪ.v.eɪ.l	p.ɹ.ɪ.v.eɪ.l.d
p.ɹ.ʌ.s.k.ɹ.aɪ.b	p.ɹ.i.s.k.ɹ.aɪ.b.d
s.p.ɹ.ɪ.ŋ.k.ʌ.l	s.p.ɹ.ɪ.ŋ.k.ʌ.l.d
d.ɪ.f.aɪ	d.ɪ.f.aɪ.d
d.ɪ.p.l.ɔɪ	d.ɪ.p.l.ɔɪ.d
h.ʌ.g	h.ʌ.g.d
k.ɪ.d	k.ɪ.d.ɪ.d
s.t.ɹ.i.m	s.t.ɹ.i.m.d
k.oʊ.ɑ.p.ɚ.eɪ.t	k.oʊ.ɑ.p.ɚ.eɪ.t.ʌ.d
dʒ.oʊ.k	dʒ.oʊ.k.t
b.ʌ.l.dʒ	b.ʌ.l.dʒ.d
s.ɚ.k.ʌ.l	s.ɚ.k.ʌ.l.d
s.oʊ	s.oʊ.d
k.ʌ.m.p.ɹ.aɪ.z	k.ʌ.m.p.ɹ.aɪ.z.d
g.ɹ.oʊ.n	g.ɹ.oʊ.n.d
t.ʌ.m.b.ʌ.l	t.ʌ.m.b.ʌ.l.d
h.j.u.m.ɪ.l.i.eɪ.t	h.j.u.m.ɪ.l.i.eɪ.t.ɪ.d
dʒ.æ.m	dʒ.æ.m.d
t.ɹ.æ.k	t.ɹ.æ.k.t
ɹ.oʊ.t.eɪ.t	ɹ.oʊ.t.eɪ.t.ɪ.d
s.m.u.ð	s.m.u.ð.d
s.t.æ.k	s.t.æ.k.t
ɪ.n.f.ɛ.k.t	ɪ.n.f.ɛ.k.t.ɪ.d
k.ɹ.ʌ.m.b.ʌ.l	k.ɹ.ʌ.m.b.ʌ.l.d
l.ɪ.k	l.ɪ.k.t
s.k.ɛ.dʒ.ʊ.l	s.k.ɛ.dʒ.ʊ.l.d
t.ɔ.ɹ.tʃ.ɚ	t.ɔ.ɹ.tʃ.ɚ.d
l.ɪ.b.ɚ.eɪ.t	l.ɪ.b.ɚ.eɪ.t.ɪ.d
b.l.ʌ.ʃ	b.l.ʌ.ʃ.t
s.ɑ.b	s.ɑ.b.d
t.u.n	t.u.n.d
ɪ.k.s.p.ɛ.l	ɪ.k.s.p.ɛ.l.d
f.l.æ.p	f.l.æ.p.t
l.ɛ.k.tʃ.ɚ	l.ɛ.k.tʃ.ɚ.d
b.ʌ.m.p	b.ʌ.m.p.t
s.aɪ.t	s.aɪ.t.ʌ.d
p.eɪ.s	p.eɪ.s.t
s.t.i.m	s.t.i.m.d
t.ʌ.g	t.ʌ.g.d
b.u.m	b.u.m.d
ɪ.m.p.ɹ.ɪ.z.ʌ.n	ɪ.m.p.ɹ.ɪ.z.ʌ.n.d
p.ɹ.ɪ.z.aɪ.d	p.ɹ.ɪ.z.aɪ.d.ɪ.d
v.æ.l.j.u	v.æ.l.j.u.d
k.oʊ.ɪ.n.s.aɪ.d	k.oʊ.ʌ.n.s.aɪ.d.ʌ.d
k.ɹ.æ.m	k.ɹ.æ.m.d
k.ɹ.ɪ.p.ʌ.l	k.ɹ.ɪ.p.ʌ.l.d
d.u.m	d.u.m.d
f.i.tʃ.ɚ	f.i.tʃ.ɚ.d
h.ɪ.n.t	h.ɪ.n.t.ʌ.d
s.p.ɛ.k.j.ʌ.l.eɪ.t	s.p.ɛ.k.j.ʌ.l.eɪ.t.ʌ.d
ɹ.ɪ.ŋ.k.ʌ.l	ɹ.ɪ.ŋ.k.ʌ.l.d
k.ɔ.ɹ.ʌ.s.p.ɑ.n.d	k.ɔ.ɹ.ʌ.s.p.ɑ.n.d.ɪ.d
d.ɪ.s.t.ɹ.ɛ.s	d.ɪ.s.t.ɹ.ɛ.s.t
f.ɔ.ɹ.k.æ.s.t	f.ɔ.ɹ.k.æ.s.t.ɪ.d
g.l.ɪ.t.ɚ	g.l.ɪ.t.ɚ.d
s.k.ɹ.ʌ.b	s.k.ɹ.ʌ.b.d
m.oʊ.t.ʌ.v.eɪ.t	m.oʊ.t.ʌ.v.eɪ.t.ʌ.d
ɹ.eɪ.p	ɹ.eɪ.p.t
f.æ.s.ʌ.n	f.æ.s.ʌ.n.d
p.ɚ.tʃ	p.ɚ.tʃ.t
p.ɪ.tʃ	p.ɪ.tʃ.t
p.ʌ.n.tʃ	p.ʌ.n.tʃ.t
ɪ.n.s.ʌ.l.t	ɪ.n.s.ʌ.l.t.ɪ.d
l.i.k	l.i.k.t
s.ɛ.n.t.ʌ.n.s	s.ɛ.n.t.ʌ.n.s.t
ʌ.n.d.ɚ.l.aɪ.n	ʌ.n.d.ɚ.l.aɪ.n.d
d.ɪ.t.ɚ	d.ɪ.t.ɚ.d
ʌ.b.s.ɛ.s	ʌ.b.s.ɛ.s.t
d.ɹ.ɪ.p	d.ɹ.ɪ.p.t
w.ɚ.l	w.ɚ.l.d
ɹ.ɛ.k	ɹ.ɛ.k.t
ɛ.k.s.p.ɔ.ɹ.t	ɪ.k.s.p.ɔ.ɹ.t.ʌ.d
b.ɑ.ɹ.k	b.ɑ.ɹ.k.t
b.ɹ.u.d	b.ɹ.u.d.ɪ.d
k.ɑ.n.t.ɹ.æ.s.t	k.ʌ.n.t.ɹ.æ.s.t.ʌ.d
d.ɛ.d.ʌ.k.eɪ.t	d.ɛ.d.ʌ.k.eɪ.t.ʌ.d
h.ɑ.ɹ.m	h.ɑ.ɹ.m.d
ɪ.n.dʒ.ɚ	ɪ.n.dʒ.ɚ.d
m.ɪ.ŋ.g.ʌ.l	m.ɪ.ŋ.g.ʌ.l.d
s.ɔ.ɹ	s.ɔ.ɹ.d
s.p.ɛ.ʃ.ʌ.l.aɪ.z	s.p.ɛ.ʃ.ʌ.l.aɪ.z.d
s.p.l.æ.ʃ	s.p.l.æ.ʃ.t
s.p.ɹ.eɪ	s.p.ɹ.eɪ.d
k.ɑ.n.v.ɪ.k.t	k.ʌ.n.v.ɪ.k.t.ʌ.d
ɪ.k.w.ɪ.p	ɪ.k.w.ɪ.p.t
h.ɑ.ɹ.d.ʌ.n	h.ɑ.ɹ.d.ʌ.n.d
g.ɹ.oʊ.p	g.ɹ.oʊ.p.t
ɹ.i.s.aɪ.k.ʌ.l	ɹ.i.s.aɪ.k.ʌ.l.d
ɹ.i.h.ɚ.s	ɹ.i.h.ɚ.s.t
t.w.ɪ.tʃ	t.w.ɪ.tʃ.t
d.ɪ.s.p.ɚ.s	d.ɪ.s.p.ɚ.s.t
h.æ.n.d.i.k.æ.p	h.æ.n.d.i.k.æ.p.t
h.aʊ.l	h.aʊ.l.d
ɪ.l.u.m.ɪ.n.ɪ.t	ɪ.l.u.m.ʌ.n.eɪ.t.ʌ.d
k.l.ɛ.n.tʃ	k.l.ɛ.n.tʃ.t
ɛ.n.d.ɔ.ɹ.s	ɛ.n.d.ɔ.ɹ.s.t
p.æ.n.t	p.æ.n.t.ɪ.d
s.æ.k	s.æ.k.t
s.w.ɚ.l	s.w.ɚ.l.d
d.æ.ŋ.g.ʌ.l	d.æ.ŋ.g.ʌ.l.d
ɚ.ɪ.dʒ.ʌ.n.eɪ.t	ɚ.ɪ.dʒ.ʌ.n.eɪ.t.ʌ.d
ɹ.ʌ.f.ɔ.ɹ.m	ɹ.ɪ.f.ɔ.ɹ.m.d
ɛ.n.t.eɪ.l	ɪ.n.t.eɪ.l.d
m.ɪ.l.k	m.ɪ.l.k.t
p.i.l	p.i.l.d
p.ɑ.n.d.ɚ	p.ɑ.n.d.ɚ.d
k.ɑ.m.p.ɹ.ɛ.s	k.ʌ.m.p.ɹ.ɛ.s.t
f.ɔ.ɹ.dʒ	f.ɔ.ɹ.dʒ.d
h.ɑ.ɹ.v.ʌ.s.t	h.ɑ.ɹ.v.ʌ.s.t.ɪ.d
m.ɑ.k	m.ɑ.k.t
s.p.ɛ.s.ʌ.f.aɪ	s.p.ɛ.s.ʌ.f.aɪ.d
l.u.m	l.u.m.d
p.ɹ.ɑ.s.ʌ.k.j.u.t	p.ɹ.ɑ.s.ɪ.k.j.u.t.ɪ.d
t.ɪ.k	t.ɪ.k.t
ʌ.n.d.u	ʌ.n.d.ɪ.d
tʃ.ɪ.l	tʃ.ɪ.l.d
ɪ.n.d.ʌ.s.t.ɹ.i.ʌ.l.aɪ.z	ɪ.n.d.ʌ.s.t.ɹ.i.ʌ.l.aɪ.z.d
ɪ.n.t.ɛ.n.s.ɪ.f.aɪ	ɪ.n.t.ɛ.n.s.ɪ.f.aɪ.d
oʊ.m.ɪ.t	oʊ.m.ɪ.t.ʌ.d
s.ɑ.f.ʌ.n	s.ɔ.f.ʌ.n.d
k.ʌ.n.f.ɚ	k.ʌ.n.f.ɚ.d
d.ɪ.s.ʌ.p.l.ʌ.n	d.ɪ.s.ʌ.p.l.ʌ.n.d
d.ɪ.s.t.ɹ.æ.k.t	d.ɪ.s.t.ɹ.æ.k.t.ʌ.d
ɪ.n.h.ɪ.b.ʌ.t	ɪ.n.h.ɪ.b.ʌ.t.ɪ.d
m.ɪ.n.ʌ.m.aɪ.z	m.ɪ.n.ʌ.m.aɪ.z.d
ɹ.i.z.ʌ.n	ɹ.i.z.ʌ.n.d
s.p.ɑ.n.s.ɚ	s.p.ɑ.n.s.ɚ.d
b.ɔ.ɹ.d	b.ɔ.ɹ.d.ʌ.d
f.l.æ.t.ʌ.n	f.l.æ.t.ʌ.n.d
n.ɪ.t	n.ɪ.t.ʌ.d
p.ɪ.n.tʃ	p.ɪ.n.tʃ.t
s.ʌ.p.l.ʌ.m.ʌ.n.t	s.ʌ.p.l.ʌ.m.ɛ.n.t.ɪ.d
m.ɪ.s.t.eɪ.k	m.ɪ.s.t.ʊ.k
n.ʌ.m.b.ɚ	n.ʌ.m.b.ɚ.d
ɹ.ɪ.t.ɹ.i.v	ɹ.i.t.ɹ.i.v.d
